AreaPond,Populacao,RendaTrabalho,RendaTransferencias,RendaTotal,uf,Municipio,RendaPerCapita,n_agencias,areas_por_municipio
1100015001001,18033.2828256404,9030170.03936203,2306713.04696371,11336883.0863257,RO,1100015,500.750203203303,2,1
1100031001001,4686.93734992948,2172888.55641174,628778.99065491,2801667.54706665,RO,1100031,463.605206168252,1,1
1100056001001,12818.9214771966,7213559.30617919,2163644.3009587,9377203.60713789,RO,1100056,562.727474305172,2,1
1100064001001,14100.8826604584,7317215.22416772,2034602.7408448,9351817.96501253,RO,1100064,518.918949994995,2,1
1100072001001,6510.1608895084,2602271.2783866,982174.127468194,3584445.40585479,RO,1100072,399.724572487962,1,1
1100080001001,9101.08495792072,3969870.26408855,781079.959703162,4750950.22379171,RO,1100080,436.197473426896,1,1
1100098003001,21047.7395493743,13677589.9240795,2608697.75108792,16286287.6751674,RO,1100098,649.836524819886,2,1
1100148001001,14648.412421167,7292019.08555717,1812644.10486171,9104663.19041888,RO,1100148,497.802688502967,1,1
1100254001001,16770.5736090984,9252797.64624613,2190975.91312658,11443773.5593727,RO,1100254,551.728155632451,2,1
1100262001001,2375.46462955663,1098373.0687273,276475.102771386,1374848.17149868,RO,1100262,462.382413554314,0,1
1100296001001,6712.28714319309,3135350.2990285,1017851.29397146,4153201.59299996,RO,1100296,467.106104393649,1,1
1100320001001,15516.5391983898,7226803.55468823,2091087.85660551,9317891.41129374,RO,1100320,465.748416079674,1,1
1100338001001,15203.6523656085,6283783.84576341,1864303.13132443,8148086.97708784,RO,1100338,413.307519446949,1,1
1100346001001,12351.0943930231,5922981.45335393,1837554.78022793,7760536.23358186,RO,1100346,479.551144609478,1,1
1100379001001,9057.34322007668,3166307.08388258,1075726.22120563,4242033.30508821,RO,1100379,349.584531241356,0,1
1100403001001,12054.7650519069,6356687.9730713,2010731.11727742,8367419.09034872,RO,1100403,527.31745046045,1,1
1100502001001,7598.5198498852,2261345.47355541,1113089.27062355,3374434.74417896,RO,1100502,297.603417274691,1,1
1100601001001,4080.42642244952,2357817.78221691,492791.966455232,2850609.74867214,RO,1100601,577.836122529931,1,1
1100700001001,8683.44772127411,5563774.82049778,792332.451193285,6356107.27169106,RO,1100700,640.733381381079,0,1
1100809001001,13608.1639292072,8336898.66042584,1524014.81393186,9860913.47435771,RO,1100809,612.639493747748,0,1
1100908001001,2657.90702816416,1173315.45065178,451372.415757628,1624687.86640941,RO,1100908,441.443375640645,0,1
1100924001001,5794.28678328287,3360936.47280063,561276.511388244,3922212.98418887,RO,1100924,580.04316985091,0,1
1100940001001,10721.1247452837,6789133.64343457,1010048.65694302,7799182.30037759,RO,1100940,633.248264965966,1,1
1101005001001,7562.46519229482,3045119.74243554,980245.973447476,4025365.71588301,RO,1101005,402.662315132124,0,1
1101104001001,5888.69728983808,2843354.35446382,641934.5972853,3485288.95174912,RO,1101104,482.849468144762,0,1
1101203001001,7403.42962013936,3483486.41869514,979684.545843029,4463170.96453817,RO,1101203,470.523338159263,1,1
1101302001001,8545.31247115201,4684587.53086638,1363026.57018095,6047614.10104733,RO,1101302,548.205527496041,1,1
1101401001001,9810.00355184865,4717625.41792789,1379068.87654253,6096694.29447042,RO,1101401,480.899460738613,1,1
1101435001001,5390.46277358386,1936199.78552782,678036.455529498,2614236.24105732,RO,1101435,359.189900172622,1,1
1101450001001,3409.22808100346,1415794.02672422,288415.985123362,1704210.01184759,RO,1101450,415.282871396361,0,1
1101468001001,1597.59494437911,891767.505667369,245867.003967091,1137634.50963446,RO,1101468,558.193745420212,0,1
1101476001001,2566.28479671151,1133740.8285484,381019.22176835,1514760.05031675,RO,1101476,441.78293461474,0,1
1101484001001,4527.14003876468,1473375.40888085,730210.156783934,2203585.56566479,RO,1101484,325.453906056525,0,1
1101492001001,11148.675845997,6074793.23803087,1216034.55919203,7290827.7972229,RO,1101492,544.88921571902,1,1
1101500001001,8218.01510526572,3864912.66233923,829369.93848702,4694282.60082625,RO,1101500,470.297585588858,1,1
1101559001001,3624.4729190785,1660101.0805833,576842.326928564,2236943.40751187,RO,1101559,458.025516439884,0,1
1101609001001,7607.94107793358,3029063.75359946,909634.367020107,3938698.12061957,RO,1101609,398.145006982914,0,1
1101708001001,9499.83667472452,3373337.21530417,1429331.10992634,4802668.32523051,RO,1101708,355.094232754479,1,1
1101757001001,6611.19675045541,2867660.81389993,775573.469738216,3643234.28363815,RO,1101757,433.758201751051,0,1
1101807001001,6019.68299408342,2399241.2658992,1037464.17685067,3436705.44274987,RO,1101807,398.566048786514,0,1
1200013001001,8224.45693931412,2778025.54814081,876191.954974234,3654217.50311505,AC,1200013,337.776167914679,1,1
1200054001001,3903.5814847072,1341348.61469614,381407.367951447,1722755.98264758,AC,1200054,343.61998589015,1,1
1200104001001,14565.6561718675,5145753.51881155,1891944.26189762,7037697.78070917,AC,1200104,353.279897458391,1,1
1200138001001,5557.20939983454,2076661.30222901,714835.547912188,2791496.8501412,AC,1200138,373.687790546608,0,1
1200179001001,5599.35390539287,2349628.89789571,551168.326004573,2900797.22390028,AC,1200179,419.625002740535,0,1
1200252001001,10272.4706755701,5422627.49244928,1406480.33894395,6829107.83139324,AC,1200252,527.879578702069,1,1
1200302001001,19035.086610414,5599345.12605956,2117733.15433488,7717078.28039444,AC,1200302,294.1591620075,2,1
